category,name,address,kana,latlng,tel,url,image
観光地,大阪城天守閣,大阪府大阪市中央区大阪城1-1,オオサカジョウテンシュカク,"34.687447,135.525822",06-6941-3044,http://www.osakacastle.net/,
観光地,府立上方演芸資料館（ワッハ上方）,大阪府大阪市中央区難波千日前12-7　ＹＥＳ・ＮＡＭＢＡビル,フリツカミガタエンゲイシリョウカン（ワッハカミガタ）,"34.6646249,135.5030578",06-6631-0884,http://www.wahha.or.jp/,
観光地,国立文楽劇場,大阪府大阪市中央区日本橋1-12-10,コクリツブンラクゲキジョウ,"34.6673609,135.5084558",06-6212-2531,,
観光地,ユニバーサル・スタジオ・ジャパン,大阪府大阪市此花区桜島2-1-33,ユニバーサル・スタジオ・ジャパン,"34.6660081,135.4316418",6465-3000,,
観光地,キッズプラザ大阪,大阪府大阪市北区扇町2-1-7,キッズプラザオオサカ,"34.7048421,135.5102224",06-6311-6601,http://www.kidsplaza.or.jp/,
観光地,海遊館,大阪府大阪市港区海岸通1-1-10,カイユウカン,"34.654564,135.4288107",06-6576-5501,http://www.kaiyukan.com/index.html,
観光地,海岸通ギャラリーCASO,大阪府大阪市港区海岸通2-7-23,カイガンドオリギャラリーカソ,"34.651072,135.4379998",06-6576-3633,http://www.cwo.zaq.ne.jp/caso/,
観光地,クラフトパーク,大阪府大阪市平野区長吉六反1-8-44,クラフトパーク,"34.610156,135.5792689",06-4302-9210,,
観光地,長居植物園,大阪府大阪市東住吉区長居公園内,ナガイショクブツエン,"34.6110029,135.5218423",06-6696-7117,http://www.ocsga.or.jp/n-syoku/index.html,
観光地,咲くやこの花館,大阪府大阪市鶴見区緑地公園２－１６３,サクヤコノハナカン,"34.710103,135.5736277",06-6912-0055,http://www.sakuyakonohana.com/,
観光地,天王寺動植物公園事務所,大阪府大阪市天王寺区茶臼山1-108,テンノウジドウショクブツコウエンジムショ,"34.651286,135.5103248",06-6771-8401,,
観光地,天王寺動物園,大阪府大阪市天王寺区茶臼山町1-108　天王寺公園内,テンノウジドウブツエン,"34.6507395,135.5076049",06-6771-8401 (天王寺動植物公園事務所),http://www.jazga.or.jp/tennoji,
図書館,大阪市立浪速図書館,大阪府大阪市浪速区敷津西1-5-23,オオサカシリツナニワトショカン,"34.6585779,135.4959688",06-6632-4946,http://www.oml.city.osaka.jp/info/59naniwa/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立住之江図書館,大阪府大阪市住之江区南加賀屋3-1-20,オオサカシリツスミノエトショカン,"34.606406,135.4749253",06-6683-2788,http://www.oml.city.osaka.jp/info/69suminoe/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立東淀川図書館,大阪府大阪市東淀川区東淡路1-4-53,オオサカシリツヒガシヨドガワトショカン,"34.7338612,135.5197557",06-6323-5476,http://www.oml.city.osaka.jp/info/62higashiyodogawa/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,府立中之島図書館,大阪府大阪市北区中之島1-2-10,フリツナカノシマトショカン,"34.6936888,135.5031528",06-6203-0474,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,市立大学学術情報総合センター,大阪府大阪市住吉区杉本3丁目3番138号,シリツダイガクガクジュツジョウホウソウゴウセンター,"34.5922109,135.5054691",06-6605-3240,http://www.media.osaka-cu.ac.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立島之内図書館,大阪府大阪市中央区島之内2-12-31,オオサカシリツシマノウチトショカン,"34.671475,135.5078919",06-6211-3645,http://www.oml.city.osaka.jp/info/55shimanouchi/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立旭図書館,大阪府大阪市旭区中宮1-11-14,オオサカシリツアサヒトショカン,"34.720828,135.5424418",06-6955-0307,http://www.oml.city.osaka.jp/info/65asahi/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立此花図書館,大阪府大阪市此花区四貫島1-1-18,オオサカシリツコノハナトショカン,"34.6859331,135.4569527",6463-3463,http://www.oml.city.osaka.jp/info/54konohana/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
